Date,Open,High,Low,Close,Adj Close,Volume
8/14/2019,31,31.049999,29.51,30.24,30.24,127521500
8/15/2019,30.629999,30.73,29.209999,29.67,29.67,71674400
8/16/2019,30.309999,31.48,30.209999,31.18,31.18,70469800
8/19/2019,32,32.189999,31.42,31.48,31.48,67596900
8/20/2019,30.940001,31.309999,30.450001,30.719999,30.719999,47924000
8/21/2019,31.049999,31.74,30.84,31.700001,31.700001,41441500
8/22/2019,31.76,31.92,30.98,31.9,31.9,47667900
8/23/2019,31.299999,31.83,29.4,29.540001,29.540001,83681100
8/26/2019,30.34,30.719999,29.940001,30.280001,30.280001,50612500
8/27/2019,30.6,30.889999,29.6,30.200001,30.200001,53229200
8/28/2019,29.92,31.18,29.700001,30.780001,30.780001,55835900
8/29/2019,31.469999,31.83,31.33,31.450001,31.450001,44422800
8/30/2019,31.6,31.870001,31.129999,31.450001,31.450001,40307000
9/3/2019,30.83,31.139999,30.68,30.9,30.9,38029300
9/4/2019,31.32,31.83,30.85,30.950001,30.950001,46614600
9/5/2019,31.790001,32.049999,31.120001,31.5,31.5,57861200
9/6/2019,31.5,31.51,30.48,30.559999,30.559999,51673000
9/9/2019,30.93,31.18,30.24,30.5,30.5,54413200
9/10/2019,30.219999,30.379999,29.77,30.23,30.23,48604800
9/11/2019,30.379999,30.43,29.51,29.76,29.76,50631700
9/12/2019,30.08,30.84,29.950001,30.209999,30.209999,53618300
9/13/2019,30.27,30.85,29.950001,30.690001,30.690001,47758800
9/16/2019,30.370001,31.15,30.26,30.83,30.83,52248500
9/17/2019,31.07,31.32,30.74,30.99,30.99,35011700
9/18/2019,30.75,30.889999,29.879999,30.42,30.42,47027500
9/19/2019,30.57,30.959999,30.139999,30.290001,30.290001,41603000
9/20/2019,30.360001,30.469999,29.65,30.049999,30.049999,79957400
9/23/2019,30.120001,30.799999,30.07,30.639999,30.639999,44366800
9/24/2019,30.540001,30.75,29.290001,29.52,29.52,72963000
9/25/2019,29.48,29.65,28.549999,29.540001,29.540001,58234800
9/26/2019,29.67,29.77,29,29.469999,29.469999,40745400
9/27/2019,29.17,29.77,28.35,28.719999,28.719999,54091100
9/30/2019,28.889999,29.049999,28.360001,28.99,28.99,37295600
10/1/2019,29.049999,29.540001,28.639999,28.76,28.76,37081800
10/2/2019,28.5,28.85,28.030001,28.309999,28.309999,43640700
10/3/2019,28.280001,28.780001,27.43,28.68,28.68,56325200
10/4/2019,28.83,29.059999,28.280001,29.01,29.01,34446700
10/7/2019,28.9,29.629999,28.84,28.93,28.93,39337200
10/8/2019,28.549999,28.639999,27.92,28.23,28.23,44265700
10/9/2019,28.799999,28.950001,28.35,28.459999,28.459999,35661500
10/10/2019,28.52,28.889999,28,28.379999,28.379999,40660100
10/11/2019,28.83,30.200001,28.809999,29.75,29.75,66256900
10/14/2019,29.709999,30.610001,29.379999,30.530001,30.530001,44473700
10/15/2019,30.700001,30.92,30.17,30.719999,30.719999,41600700
10/16/2019,30.6,31.41,30.530001,30.809999,30.809999,42804400
10/17/2019,31.299999,31.4,30.860001,31.139999,31.139999,36884400
10/18/2019,31.059999,31.33,30.290001,30.969999,30.969999,39681700
10/21/2019,31.5,32.259998,31.41,32.029999,32.029999,52182800
10/22/2019,32.060001,32.150002,31.5,31.51,31.51,36185200
10/23/2019,31.09,31.65,30.83,31.360001,31.360001,26582200
10/24/2019,31.58,31.860001,31.34,31.719999,31.719999,27808000
10/25/2019,31.9,32.860001,31.83,32.709999,32.709999,45368800
10/28/2019,33.16,33.91,33.150002,33.689999,33.689999,51223600
10/29/2019,33.73,33.900002,32.700001,33.029999,33.029999,78700100
10/30/2019,32.93,33.34,32.029999,33.130001,33.130001,78228800
10/31/2019,32.98,34.34,32.82,33.93,33.93,67881600
11/1/2019,34.369999,35,34.099998,34.889999,34.889999,64238600
11/4/2019,35.189999,36.450001,34.759998,36.290001,36.290001,83343800
11/5/2019,36.560001,37.18,35.98,36.150002,36.150002,84848600
11/6/2019,36.060001,36.48,35.52,35.93,35.93,51675100
11/7/2019,36.52,36.990002,36.029999,36.279999,36.279999,54350200
11/8/2019,36.060001,36.580002,36,36.290001,36.290001,39353900
11/11/2019,35.959999,36.66,35.580002,36.310001,36.310001,43511100
11/12/2019,36.43,37.130001,36.400002,36.709999,36.709999,58664500
11/13/2019,36.650002,37.959999,36.580002,37.52,37.52,67648300
11/14/2019,37.509998,38.5,37.360001,38.349998,38.349998,65829500
